date_time,amount,method
2026-04-06 19:41:09.483407,3000.00,BALANCE
2026-04-06 19:40:01.783478,1900.00,nirvana
2026-04-06 18:55:00.800689,3000.00,card
2026-04-06 18:44:04.085935,1300.00,BALANCE
2026-04-06 18:42:05.964826,4000.00,BALANCE
2026-04-06 18:38:11.732587,3000.00,card
2026-04-06 18:06:39.610386,0.00,BALANCE
2026-04-06 17:56:30.869607,1600.00,BALANCE
2026-04-06 17:55:28.381912,4200.00,card
2026-04-06 17:42:54.490237,3800.00,BALANCE
2026-04-06 17:42:28.017343,4200.00,BALANCE
2026-04-06 17:41:45.255412,2900.00,card
2026-04-06 17:37:21.00157,1845.00,BALANCE
2026-04-06 17:29:58.854071,3000.00,card
2026-04-06 17:22:28.610413,4000.00,card
2026-04-06 17:17:28.036464,300.00,BALANCE
2026-04-06 17:12:09.106801,4000.00,card
2026-04-06 17:01:01.522712,3000.00,card
2026-04-06 16:57:31.329904,3315.0000,BTC
2026-04-06 16:56:35.702099,4000.00,BALANCE
2026-04-06 16:56:33.670249,3800.00,BALANCE
2026-04-06 16:49:20.937589,4200.00,BALANCE
2026-04-06 16:19:55.135902,4200.00,card
2026-04-06 16:13:54.725815,3800.00,card
2026-04-06 16:13:46.89034,3000.00,card
2026-04-06 15:49:48.586451,0.00,BALANCE
2026-04-06 15:42:25.929163,3000.00,BALANCE
2026-04-06 15:39:54.601564,4000.00,BALANCE
2026-04-06 15:30:19.725338,1500.00,BALANCE
2026-04-06 15:16:45.271097,7200.00,BALANCE
2026-04-06 14:31:28.965865,0.00,BALANCE
2026-04-06 14:25:11.401287,7200.00,card
2026-04-06 14:18:04.676655,2900.00,card
2026-04-06 14:16:38.674055,1900.00,card
2026-04-06 14:15:04.787012,2900.00,card
2026-04-06 14:14:32.146023,2800.000,USDT
2026-04-06 14:12:19.443905,4000.00,card
2026-04-06 14:11:34.5983,4200.00,BALANCE
2026-04-06 14:10:53.734244,2900.00,BALANCE
2026-04-06 13:52:48.639257,0.00,BALANCE
2026-04-06 13:38:20.560453,4200.00,card
2026-04-06 13:21:25.036618,0.00,BALANCE
2026-04-06 13:08:56.839882,1900.00,BALANCE
2026-04-06 13:03:41.426346,4000.00,BALANCE
2026-04-06 13:01:39.381345,4200.00,BALANCE
2026-04-06 12:57:28.668047,7100.00,BALANCE
2026-04-06 12:55:21.214393,4200.00,BALANCE
2026-04-06 12:45:20.020947,4200.00,BALANCE
2026-04-06 12:34:47.003111,2400.00,card
2026-04-06 12:33:21.432717,3800.00,card
2026-04-06 12:32:53.450301,3300.00,BALANCE
2026-04-06 12:24:02.844025,3400.0000,LTC
2026-04-06 11:52:36.124433,4000.00,BALANCE
2026-04-06 11:48:25.716837,2200.00,BALANCE
2026-04-06 11:47:14.083429,3000.00,BALANCE
2026-04-06 11:37:52.330155,7200.00,BALANCE
2026-04-06 11:36:27.771295,4300.00,BALANCE
2026-04-06 11:32:21.669367,3000.00,BALANCE
2026-04-06 11:31:19.534094,0.00,BALANCE
2026-04-06 11:16:21.253249,4200.00,card
2026-04-06 11:11:45.475976,2800.000,USDT
2026-04-06 10:57:41.529764,2940.000,USDT
2026-04-06 10:30:55.857908,900.00,BALANCE
2026-04-06 10:05:46.168858,2465.0000,LTC
2026-04-06 10:04:09.521961,4000.00,card
2026-04-06 09:36:02.986122,4000.00,card
2026-04-06 09:24:57.347046,4200.00,card
2026-04-06 08:07:22.706922,0.00,BALANCE
2026-04-06 07:56:25.917468,500.00,BALANCE
2026-04-06 06:39:25.406948,1330.000,USDT
2026-04-06 03:42:42.344612,3900.00,BALANCE
2026-04-06 03:39:49.852362,2800.000,USDT
2026-04-06 02:14:34.397157,2800.000,USDT
2026-04-06 01:32:05.493762,4000.00,BALANCE
2026-04-06 00:44:10.834883,4000.00,card
2026-04-06 00:33:13.605755,7200.00,BALANCE
2026-04-05 23:43:30.347125,2940.000,USDT
2026-04-05 23:25:12.632532,2940.000,USDT
2026-04-05 23:11:03.336414,1800.00,BALANCE
2026-04-05 23:01:09.043327,2800.000,USDT
2026-04-05 23:00:22.448368,7200.00,BALANCE
2026-04-05 22:57:23.4797,4000.00,BALANCE
2026-04-05 21:34:55.61334,4400.00,BALANCE
2026-04-05 21:31:35.47491,4000.00,BALANCE
2026-04-05 21:20:38.494348,6120.0000,LTC
2026-04-05 21:15:32.446178,3000.00,BALANCE
2026-04-05 20:09:06.296482,1900.00,BALANCE
2026-04-05 20:07:59.996953,900.00,BALANCE
2026-04-05 19:06:18.97978,0.00,BALANCE
2026-04-05 18:59:27.759983,2660.000,USDT
2026-04-05 18:55:29.571327,4200.00,BALANCE
2026-04-05 18:17:35.272568,2800.000,USDT
2026-04-05 17:54:21.61115,3000.00,BALANCE
2026-04-05 17:54:11.926709,2940.000,USDT
2026-04-05 16:59:55.381809,4000.00,BALANCE
2026-04-05 16:59:20.199449,4000.00,card
2026-04-05 15:56:07.5785,1300.00,BALANCE
2026-04-05 15:54:49.349871,3300.00,card
2026-04-05 15:50:54.793913,0.00,BALANCE
2026-04-05 15:47:38.839717,4000.00,card
2026-04-05 15:15:33.926618,1100.00,BALANCE
2026-04-05 14:46:35.259959,3300.00,card
2026-04-05 14:34:01.543352,4000.00,card
2026-04-05 14:10:51.125465,1500.00,BALANCE
2026-04-05 13:57:23.508871,3300.00,BALANCE
2026-04-05 13:38:47.34418,2660.000,USDT
2026-04-05 13:36:29.61386,4000.00,BALANCE
2026-04-05 13:27:21.948282,2000.00,BALANCE
2026-04-05 13:11:52.489803,2700.00,BALANCE
2026-04-05 13:09:56.621972,4000.00,card
2026-04-05 12:28:17.820508,4000.00,BALANCE
2026-04-05 12:18:43.395188,2940.000,USDT
2026-04-05 12:08:27.830835,3000.00,BALANCE
2026-04-05 10:59:22.21009,2940.000,USDT
2026-04-05 10:56:53.475775,4000.00,BALANCE
2026-04-05 10:52:16.025794,4000.00,BALANCE
2026-04-05 10:39:02.095115,3900.00,BALANCE
2026-04-05 10:32:39.135085,300.00,BALANCE
2026-04-05 10:32:19.19588,4000.00,BALANCE
2026-04-05 10:28:36.136768,4000.00,BALANCE
2026-04-05 10:23:30.233403,2900.00,BALANCE
2026-04-05 10:13:45.557242,2800.000,USDT
2026-04-05 08:56:13.566958,3400.0000,LTC
2026-04-05 08:28:28.968534,2800.000,USDT
2026-04-05 07:45:20.329597,4000.00,BALANCE
2026-04-05 07:36:26.413673,2900.00,BALANCE
2026-04-05 07:23:21.144267,2800.000,USDT
2026-04-05 03:04:51.890528,4000.00,BALANCE
2026-04-05 02:37:37.233039,2900.00,BALANCE
2026-04-05 00:30:30.152069,3800.00,BALANCE
2026-04-05 00:27:13.734844,2400.00,BALANCE
2026-04-05 00:18:10.748356,1100.00,BALANCE
2026-04-04 23:41:21.109419,2030.000,USDT
2026-04-04 23:21:51.172995,4200.00,BALANCE
2026-04-04 22:58:39.310943,7200.00,BALANCE
2026-04-04 22:10:58.125392,1300.00,BALANCE
2026-04-04 21:57:24.148066,4000.00,BALANCE
2026-04-04 21:50:50.751121,3000.00,BALANCE
2026-04-04 21:29:14.947712,4200.00,BALANCE
2026-04-04 21:28:58.985218,4000.00,BALANCE
2026-04-04 21:12:13.069341,4000.00,BALANCE
2026-04-04 21:07:49.973033,4000.00,BALANCE
2026-04-04 20:59:14.520811,3000.00,BALANCE
2026-04-04 20:39:22.104595,3800.00,BALANCE
2026-04-04 20:20:58.247624,7200.00,BALANCE
2026-04-04 19:45:44.92318,2660.000,USDT
2026-04-04 19:27:11.670908,4000.00,BALANCE
2026-04-04 19:17:11.673054,3400.0000,LTC
2026-04-04 19:05:06.741276,4000.00,BALANCE
2026-04-04 18:45:24.69946,0.00,BALANCE
2026-04-04 18:41:16.249628,2800.000,USDT
2026-04-04 18:40:35.763606,2200.00,BALANCE
2026-04-04 18:25:59.449388,4000.00,BALANCE
2026-04-04 18:21:03.06143,1900.00,BALANCE
2026-04-04 17:49:56.769319,4000.00,BALANCE
2026-04-04 17:29:44.80907,4000.00,BALANCE
2026-04-04 16:58:28.229631,4000.00,BALANCE
2026-04-04 16:41:47.744084,1000.00,BALANCE
2026-04-04 15:52:31.555907,2300.00,BALANCE
2026-04-04 15:50:42.453518,4000.00,BALANCE
2026-04-04 15:49:48.036811,4000.00,BALANCE
2026-04-04 15:48:56.133376,4000.00,BALANCE
2026-04-04 15:45:27.21193,3800.00,BALANCE
2026-04-04 15:40:33.641432,900.00,BALANCE
2026-04-04 15:17:06.211871,1200.00,BALANCE
2026-04-04 15:13:45.251303,0.00,BALANCE
2026-04-04 15:08:19.686667,6900.00,BALANCE
2026-04-04 14:55:38.600266,1200.00,BALANCE
2026-04-04 14:51:44.338286,2940.000,USDT
2026-04-04 14:44:59.304205,4000.00,BALANCE
